date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:14:55	61015/61015	---MCZ	200	added ('OK')	text/html	etag:W/%22666c7723-ee57%22	https://www.iubenda.com/privacy-policy/46718779	D:/My%20Web%20Sites/https___www.iubenda.com_privacy-policy_46718779/www.iubenda.com/privacy-policy/46718779.html	(from )
17:14:55	680/680	---MCZ	200	added ('OK')	text/plain	etag:W/%22666c3aca-688%22	https://www.iubenda.com/robots.txt		(from )
17:14:56	27576/27576	---M--	200	added ('OK')	image/png	etag:%22666c3aca-6bb8%22	https://www.iubenda.com/seo/assets/default.png	D:/My%20Web%20Sites/https___www.iubenda.com_privacy-policy_46718779/www.iubenda.com/seo/assets/default.png	(from https://www.iubenda.com/privacy-policy/46718779)
17:14:56	42791/42791	---MCZ	200	added ('OK')	text/css	date:Tue,%2019%20Mar%202024%2014:41:26%20GMT	https://www.iubenda.com/assets/privacy_policy-0420b91a47ceda437431fc2d46b7ce6ac550c0f281ee95941362f1b3b012627b.css	D:/My%20Web%20Sites/https___www.iubenda.com_privacy-policy_46718779/www.iubenda.com/assets/privacy_policy-0420b91a47ceda437431fc2d46b7ce6ac550c0f281ee95941362f1b3b012627b.css	(from https://www.iubenda.com/privacy-policy/46718779)
17:14:56	116669/116669	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2012%20Jun%202024%2012:35:08%20GMT	https://www.iubenda.com/assets/privacy_policy-20c4c145e840109997b9c4d4ae844084522846014870a1efad2ddd0277441762.js	D:/My%20Web%20Sites/https___www.iubenda.com_privacy-policy_46718779/www.iubenda.com/assets/privacy_policy-20c4c145e840109997b9c4d4ae844084522846014870a1efad2ddd0277441762.js	(from https://www.iubenda.com/privacy-policy/46718779)
17:14:58	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2015%20Jun%202024%2020:14:56%20GMT	http://www.iubenda.com/privacy-policy/46718779/cookie-policy	D:/My%20Web%20Sites/https___www.iubenda.com_privacy-policy_46718779/www.iubenda.com/privacy-policy/46718779/cookie-policy.4.delayed	(from https://www.iubenda.com/privacy-policy/46718779)
17:14:59	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2015%20Jun%202024%2020:14:58%20GMT	http://www.iubenda.com/privacy-policy/65675001	D:/My%20Web%20Sites/https___www.iubenda.com_privacy-policy_46718779/www.iubenda.com/privacy-policy/65675001	(from https://www.iubenda.com/privacy-policy/46718779)
17:14:59	22010/22010	---MCZ	200	added ('OK')	text/html	etag:W/%22de60f03b6a0ebfbe0fd869a74e27efad%22	https://www.iubenda.com/privacy-policy/46718779/cookie-policy	D:/My%20Web%20Sites/https___www.iubenda.com_privacy-policy_46718779/www.iubenda.com/privacy-policy/46718779/cookie-policy.html	(from https://www.iubenda.com/privacy-policy/46718779)
17:14:59	8593/8593	---MCZ	200	added ('OK')	text/html	etag:W/%226633691e-2191%22	https://www.iubenda.com/privacy-policy/65675001	D:/My%20Web%20Sites/https___www.iubenda.com_privacy-policy_46718779/www.iubenda.com/privacy-policy/65675001.html	(from https://www.iubenda.com/privacy-policy/46718779)
17:14:59	347/347	---M--	200	added ('OK')	image/png	etag:%22666c3aca-15b%22	https://www.iubenda.com/design/images/close_big.png	D:/My%20Web%20Sites/https___www.iubenda.com_privacy-policy_46718779/www.iubenda.com/design/images/close_big.png	(from https://www.iubenda.com/assets/privacy_policy-0420b91a47ceda437431fc2d46b7ce6ac550c0f281ee95941362f1b3b012627b.css)
17:15:00	5387/5387	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22666c3aca-150b%22	https://www.iubenda.com/assets/privacy_policy-5ab388fa34e86efc89c42373f11361dd30a291977c159b99e4ae434397588648.js	D:/My%20Web%20Sites/https___www.iubenda.com_privacy-policy_46718779/www.iubenda.com/assets/privacy_policy-5ab388fa34e86efc89c42373f11361dd30a291977c159b99e4ae434397588648.js	(from https://www.iubenda.com/privacy-policy/65675001)
17:15:00	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2015%20Jun%202024%2020:14:59%20GMT	http://www.iubenda.com/privacy-policy/65675001/legal	D:/My%20Web%20Sites/https___www.iubenda.com_privacy-policy_46718779/www.iubenda.com/privacy-policy/65675001/legal	(from https://www.iubenda.com/privacy-policy/65675001)
17:15:00	93130/93130	---MCZ	200	added ('OK')	text/html	etag:W/%226633695f-16bca%22	https://www.iubenda.com/privacy-policy/65675001/legal	D:/My%20Web%20Sites/https___www.iubenda.com_privacy-policy_46718779/www.iubenda.com/privacy-policy/65675001/legal.html	(from https://www.iubenda.com/privacy-policy/65675001)
